PF03390	2-hydroxycarboxylate transporter family
PF03491	Serotonin (5-HT) neurotransmitter transporter, N-terminus
PF00324	Amino acid permease
PF13520	Amino acid permease
PF13906	C-terminus of AA_permease
PF08403	Amino acid permease N-terminal
PF01490	Transmembrane amino acid transporter protein
PF00950	ABC 3 transport family
PF01061	ABC-2 type transporter
PF12679	ABC-2 family transporter protein
PF12698	ABC-2 family transporter protein
PF12730	ABC-2 family transporter protein
PF13346	ABC-2 family transporter protein
PF06182	ABC-2 family transporter protein
PF09819	ABC-type cobalt transport system, permease component
PF16962	Putative ABC exporter
PF00664	ABC transporter transmembrane region
PF06472	ABC transporter transmembrane region 2
PF13748	ABC transporter transmembrane region
PF04392	ABC transporter substrate binding protein
PF00005	ABC transporter
PF09822	ABC-type uncharacterized transport system
PF03886	ABC-type transport auxiliary lipoprotein component
PF06541	Putative ABC-transporter type IV
PF14510	ABC-transporter extracellular N-terminal
PF16326	ABC transporter C-terminal domain
PF12848	ABC transporter
PF03806	AbgT putative transporter family
PF13000	Acetyl-coenzyme A transporter 1
PF10766	Multidrug efflux pump-associated protein AcrZ
PF16168	Adhesin of bacterial autotransporter system, probable stalk
PF06610	L-alanine exporter
PF13372	Alginate export
PF11744	Aluminium activated malate transporter
PF02293	AmiS/UreI family transporter
PF00909	Ammonium Transporter Family
PF01636	Phosphotransferase enzyme family
PF06081	Aromatic acid exporter family member 1
PF11728	Putative aromatic acid exporter C-terminal domain
PF10334	Aromatic acid exporter family member 2
PF10337	Putative ER transporter, 6TM, N-terminal
PF02374	Anion-transporting ATPase
PF03773	Predicted permease
PF11449	Putative, 10TM heavy-metal exporter
PF06826	Predicted Permease Membrane Region
PF16929	Accessory Sec system GspB-transporter
PF16996	Accessory secretory protein Sec Asp4
PF17000	Accessory secretory protein Sec, Asp5
PF11700	Vacuole effluxer Atg22 like
PF00217	ATP:guanido phosphotransferase, C-terminal catalytic domain
PF02807	ATP:guanido phosphotransferase, N-terminal domain
PF12156	Putative metal-binding domain of cation transport ATPase
PF09527	Putative F0F1-ATPase subunit Ca2+/Mg2+ transporter
PF12424	Plasma membrane calcium transporter ATPase C terminal
PF03797	Autotransporter beta-domain
PF12951	Autotransporter-associated beta strand repeat
PF09794	Transport protein Avl9
PF05437	Branched-chain amino acid transport protein (AzlD)
PF01311	Bacterial export proteins, family 1
PF01313	Bacterial export proteins, family 3
PF12399	Branched-chain amino acid ATP-binding cassette transporter
PF02028	BCCT, betaine/carnitine/choline family transporter
PF03594	Benzoate membrane transport protein
PF00528	Binding-protein-dependent transport system inner membrane component
PF02653	Branched-chain amino acid transport system / permease component
PF05525	Branched-chain amino acid transport protein
PF10104	Di-sulfide bridge nucleocytoplasmic transport domain
