Q91G50	PF04973;		
P70994	PF01361;	TIGR00013;	ENOG41069HH;COG1942;
O70212	PF02931;PF02932;	TIGR00860;	
P46098	PF02931;PF02932;	TIGR00860;	
P35563	PF02931;PF02932;	TIGR00860;	KOG3645;ENOG410XQGR;
Q9JHJ5	PF02931;PF02932;	TIGR00860;	KOG3645;ENOG410XQGR;
O95264	PF02931;PF02932;	TIGR00860;	KOG3645;ENOG410XQGR;
P23979	PF02931;PF02932;	TIGR00860;	KOG3645;ENOG410XQGR;
Q9JJ16	PF02931;PF02932;	TIGR00860;	KOG3645;ENOG410XQGR;
Q6J163	PF00892;		
A2XI04	PF01182;	TIGR01198;	KOG3147;COG0363;
Q9LMX8	PF01182;	TIGR01198;	KOG3147;COG0363;
Q75IV7	PF01182;	TIGR01198;	KOG3147;COG0363;
Q8LG70	PF01182;	TIGR01198;	KOG3147;COG0363;
A2YNH4	PF01182;	TIGR01198;	KOG3147;COG0363;
Q6Z4H0	PF01182;	TIGR01198;	KOG3147;COG0363;
A2YXS5	PF01182;	TIGR01198;	KOG3147;COG0363;
Q9FIN1	PF01182;	TIGR01198;	KOG3147;COG0363;
Q8LEV7	PF01182;	TIGR01198;	KOG3147;COG0363;
Q69NG5	PF01182;	TIGR01198;	KOG3147;COG0363;
A2Z3C4	PF01182;	TIGR01198;	KOG3147;COG0363;
Q6Z9C3	PF01182;	TIGR01198;	KOG3147;COG0363;
P70715	PF01182;	TIGR01198;	ENOG4108Q79;COG0363;
Q492W6	PF10282;		ENOG4105HHQ;COG2706;
Q84WW2	PF01182;	TIGR01198;	KOG3147;COG0363;
Q8K9N9	PF10282;		ENOG4105HHQ;COG2706;
P57380	PF10282;		ENOG4105HHQ;COG2706;
O18229	PF01182;	TIGR01198;	KOG3147;COG0363;
Q89AK3	PF10282;		ENOG4105HHQ;COG2706;
Q2TBQ8	PF01182;	TIGR01198;	KOG3147;COG0363;
O51240	PF01182;		ENOG4108Q79;COG0363;
Q9Z8U5	PF01182;	TIGR01198;	ENOG4108Q79;COG0363;
Q9A6N1	PF01182;	TIGR01198;	ENOG4108Q79;COG0363;
O34499	PF10282;		ENOG4105HHQ;COG2706;
Q7VR81	PF10282;		ENOG4105HHQ;COG2706;
A7MIZ2	PF10282;		ENOG4105HHQ;COG2706;
Q54CJ3	PF01182;	TIGR01198;	KOG3147;COG0363;
Q9PKK7	PF01182;	TIGR01198;	ENOG4108Q79;COG0363;
Q9VZ64	PF01182;	TIGR01198;	KOG3147;COG0363;
O84189	PF01182;	TIGR01198;	ENOG4108Q79;COG0363;
Q8X926	PF10282;		ENOG4105HHQ;COG2706;
A8AJ27	PF10282;		ENOG4105HHQ;COG2706;
B1X797	PF10282;		ENOG4105HHQ;COG2706;
