COG1132	19	ABC-type multidrug transport system, ATPase and permease components
COG0531	17	Amino acid transporters
COG0477	14	Permeases of the major facilitator superfamily
COG1131	14	ABC-type multidrug transport system, ATPase component
PF00664	14	ABC transporter transmembrane region
PF02378	14	Phosphotransferase system, EIIC
PF00528	12	Binding-protein-dependent transport system inner membrane component
PF13018	11	Extended Signal Peptide of Type V secretion system
PF00690	9	Cation transporter/ATPase, N-terminus
PF08352	9	Oligopeptide/dipeptide transporter, C-terminal region
COG0842	9	ABC-type multidrug transport system, permease component
PF04290	9	Tripartite ATP-independent periplasmic transporters, DctQ component
COG0697	9	Permeases of the drug/metabolite transporter (DMT) superfamily
TIGR00813	9	sss: transporter, solute:sodium symporter (SSS) family
COG0471	8	Di- and tricarboxylate transporters
PF03797	8	Autotransporter beta-domain
COG2190	8	Phosphotransferase system IIA components
PF07660	8	Secretin and TonB N terminus short domain
PF02653	8	Branched-chain amino acid transport system / permease component
COG1172	8	Ribose/xylose/arabinose/galactoside ABC-type transport systems, permease components
PF00083	8	Sugar (and other) transporter
PF00005	8	ABC transporter
PF00689	8	Cation transporting ATPase, C-terminus
COG1629	8	Outer membrane receptor proteins, mostly Fe transport
COG1122	8	ABC-type cobalt transport system, ATPase component
COG3468	8	Type V secretory pathway, adhesin AidA
TIGR01727	8	oligo_HPY: oligopeptide/dipeptide ABC transporter, ATP-binding protein, C-terminal domain
TIGR01726	8	HEQRo_perm_3TM: amino ABC transporter, permease protein, 3-TM region, His/Glu/Gln/Arg/opine family
PF00358	8	phosphoenolpyruvate-dependent sugar phosphotransferase system, EIIA 1
